violation_id,legal_doc,article,clause,point,vehicle_type,actor,behavior_canonical,behavior_raw,condition_text,fine_min,fine_max,fine_text,additional_penalty,penalty_duration,point_deduction,remedial_measure,effective_status,source_text,note,behavior_category
ND100_16_2_a_0398,Nghị định 100/2019/NĐ-CP,16,2,a,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Điều khiển xe không có đủ đèn chiếu sáng, đèn soi biển số, đèn báo hãm, đèn tín hiệu, cần gạt nước, gương chiếu hậu, dây an toàn, dụng cụ thoát hiểm, thiết bị chữa cháy, đồng hồ báo áp lực hơi, đồng hồ báo tốc độ của xe hoặc có những thiết bị đó nhưng không có tác dụng, không đúng tiêu chuẩn thiết kế (đối với loại xe được quy định phải có những thiết bị đó), trừ các hành vi vi phạm quy định tại điểm m khoản 3 Điều 23, điểm q khoản 4 Điều 28 Nghị định số 100/2019/NĐ-CP (Cụ thể: Điều khiển xe ô tô kinh doanh vận tải không có dây an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh); Sử dụng xe ô tô kinh doanh vận tải hành khách không có dây an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh))","Điều khiển xe không có đủ đèn chiếu sáng, đèn soi biển số, đèn báo hãm, đèn tín hiệu, cần gạt nước, gương chiếu hậu, dây an toàn, dụng cụ thoát hiểm, thiết bị chữa cháy, đồng hồ báo áp lực hơi, đồng hồ báo tốc độ của xe hoặc có những thiết bị đó nhưng không có tác dụng, không đúng tiêu chuẩn thiết kế (đối với loại xe được quy định phải có những thiết bị đó), trừ các hành vi vi phạm quy định tại điểm m khoản 3 Điều 23, điểm q khoản 4 Điều 28 Nghị định số 100/2019/NĐ-CP (Cụ thể: Điều khiển xe ô tô kinh doanh vận tải không có dây an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh); Sử dụng xe ô tô kinh doanh vận tải hành khách không có dây an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh))",,300000,400000,Phạt tiền từ 300.000 đồng đến 400.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 16 - Khoản 2 - Điểm a]
Điều 16. Xử phạt người điều khiển xe ô tô (bao gồm cả rơ moóc hoặc sơ mi rơ moóc được kéo theo) và các loại xe tương tự xe ô tô vi phạm quy định về điều kiện của phương tiện khi tham gia giao thông
2. Phạt tiền từ 300.000 đồng đến 400.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Điều khiển xe không có đủ đèn chiếu sáng, đèn soi biển số, đèn báo hãm, đèn tín hiệu, cần gạt nước, gương chiếu hậu, dây an toàn, dụng cụ thoát hiểm, thiết bị chữa cháy, đồng hồ báo áp lực hơi, đồng hồ báo tốc độ của xe hoặc có những thiế",,tốc độ
ND100_23_1_b_0503,Nghị định 100/2019/NĐ-CP,23,1,b,ô tô,"Người điều khiển xe ô tô chở hành khách, chở người","Không mặc đồng phục, không đeo thẻ tên của lái xe","Không mặc đồng phục, không đeo thẻ tên của lái xe theo quy định.",,100000,200000,Phạt tiền từ 100.000 đồng đến 200.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 23 - Khoản 1 - Điểm b]
Điều 23. Xử phạt người điều khiển xe ô tô chở hành khách, ô tô chở người và các loại xe tương tự xe ô tô chở hành khách, chở người vi phạm quy định về vận tải đường bộ
1. Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Không mặc đồng phục, không đeo thẻ tên của lái xe theo quy định.",,khác
ND100_25_1_b_0589,Nghị định 100/2019/NĐ-CP,25,1,b,ô tô,Người điều khiển xe ô tô,"Không thực hiện đúng quy định trong Giấy phép lưu hành, trừ các hành vi vi phạm quy định tại điểm b, điểm c, điểm d khoản 2 Điều 25 Nghị định số 100/2019/NĐ-CP. (Cụ thể: Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng, kích thước bao ngoài của xe (sau khi đã xếp hàng lên xe) vượt quá quy định trong Giấy phép lưu hành; Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng đi không đúng tuyến đường quy định trong Giấy phép lưu hành; Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng chở không đúng loại hàng quy định trong Giấy phép lưu hành.)","Không thực hiện đúng quy định trong Giấy phép lưu hành, trừ các hành vi vi phạm quy định tại điểm b, điểm c, điểm d khoản 2 Điều 25 Nghị định số 100/2019/NĐ-CP. (Cụ thể: Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng, kích thước bao ngoài của xe (sau khi đã xếp hàng lên xe) vượt quá quy định trong Giấy phép lưu hành; Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng đi không đúng tuyến đường quy định trong Giấy phép lưu hành; Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng chở không đúng loại hàng quy định trong Giấy phép lưu hành.)",,1000000,2000000,Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 25 - Khoản 1 - Điểm b]
Điều 25. Xử phạt người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển hàng siêu trường, siêu trọng
1. Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Không thực hiện đúng quy định trong Giấy phép lưu hành, trừ các hành vi vi phạm quy định tại điểm b, điểm c, điểm d khoản 2 Điều này.",,giấy tờ/GPLX
ND100_26_2_0601,Nghị định 100/2019/NĐ-CP,26,2,,ô tô,Người điều khiển xe ô tô,Vận chuyển hàng nguy hiểm không có giấy phép hoặc không đúng quy định,hành vi vận chuyển hàng nguy hiểm không có giấy phép hoặc có nhưng không thực hiện đúng quy định trong giấy phép,"trừ các hành vi vi phạm quy định tại điểm a khoản 6 Điều 23 Nghị định số 100/2019/NĐ-CP (Cụ thể: Vận chuyển hàng nguy hiểm, hàng độc hại, dễ cháy, dễ nổ hoặc động vật, hàng hóa khác có ảnh hưởng đến sức khỏe của hành khách trên xe chở hành khách)",2000000,3000000,Phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 26 - Khoản 2]
Điều 26. Xử phạt người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển chất gây ô nhiễm môi trường, hàng nguy hiểm
2. Phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng đối với hành vi vận chuyển hàng nguy hiểm không có giấy phép hoặc có nhưng không thực hiện đúng quy định trong giấy phép, trừ các hành vi vi phạm quy định tại điểm a khoản 6 Điều 23 Nghị định này.",,giấy tờ/GPLX
ND168_27_1_c_0620,Nghị định 168/2024/NĐ-CP,27,1,c,ô tô,Người điều khiển xe ô tô kinh doanh vận tải chở học sinh,Không lắp hoặc làm sai lệch dữ liệu thiết bị ghi hình người lái,Điều khiển xe không lắp thiết bị ghi nhận hình ảnh người lái xe hoặc có lắp thiết bị ghi nhận hình ảnh người lái xe nhưng không có tác dụng trong quá trình xe tham gia giao thông theo quy định hoặc làm sai lệch dữ liệu của thiết bị ghi nhận hình ảnh người lái xe lắp trên xe ô tô.,,1000000,2000000,Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 27 - Khoản 1 - Điểm c]
Điều 27. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô kinh doanh vận tải chở trẻ em mầm non, học sinh, xe ô tô kinh doanh vận tải kết hợp với hoạt động đưa đón trẻ em mầm non, học sinh
1. Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với người điều khiển xe ô tô kinh doanh vận tải chở trẻ em mầm non, học sinh, xe ô tô kinh doanh vận tải kết hợp với hoạt động đưa đón trẻ em mầm non, học sinh thực hiện một trong các hành vi vi phạm sau đây:
c) Điều khiển xe không lắp thiết bị ghi nhận hình ảnh người lái x",,khác
ND100_28_8_b_0670,Nghị định 100/2019/NĐ-CP,28,8,b,ô tô,"Đơn vị sản xuất, lắp ráp, nhập khẩu thiết bị giám sát hành trình","Không báo cáo cập nhật, thay đổi Firmware của thiết bị giám sát hành trình","không báo cáo về việc cập nhật, thay đổi Firmware của thiết bị theo quy định",,10000000,20000000,Phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 28 - Khoản 8 - Điểm b]
Điều 28. Xử phạt các hành vi vi phạm quy định về vận tải đường bộ, dịch vụ hỗ trợ vận tải đường bộ
8. Phạt tiền từ 10.000.000 đồng đến 20.000.000 đồng đối với đơn vị sản xuất, lắp ráp, nhập khẩu thiết bị giám sát hành trình của xe ô tô, đơn vị cung cấp phần mềm ứng dụng hỗ trợ kết nối vận tải thực hiện một trong các hành vi sau:
b) Đơn vị sản xuất, lắp ráp, nhập khẩu thiết bị giám sát hành trình của xe ô tô không báo cáo về việc cập nhật, thay đổi Firmware của thiết bị theo quy định;",,khác
ND100_33_1_0800,Nghị định 100/2019/NĐ-CP,33,1,,ô tô,"Người điều khiển xe bánh xích, xe quá tải, quá khổ","hành vi không thực hiện đúng quy định trong Giấy phép lưu hành, trừ các hành vi vi phạm quy định tại điểm a, điểm b khoản 3; điểm b, điểm c khoản 4 Điều 33 Nghị định số 100/2019/NĐ-CP (Cụ thể: Chở hàng vượt khổ giới hạn của cầu, đường ghi trong Giấy phép lưu hành; Điều khiển xe bánh xích tham gia giao thông không có Giấy phép lưu hành hoặc có Giấy phép lưu hành nhưng không còn giá trị sử dụng theo quy định hoặc lưu thông trực tiếp trên đường mà không thực hiện biện pháp bảo vệ đường theo quy định; Điều khiển xe có Giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng (khối lượng toàn bộ) của xe hoặc tải trọng trục xe (bao gồm cả hàng hóa xếp trên xe nếu có) vượt quá quy định trong Giấy phép lưu hành; Điều khiển xe có Giấy phép lưu hành còn giá trị sử dụng nhưng đi không đúng tuyến đường quy định trong Giấy phép lưu hành.)","hành vi không thực hiện đúng quy định trong Giấy phép lưu hành, trừ các hành vi vi phạm quy định tại điểm a, điểm b khoản 3; điểm b, điểm c khoản 4 Điều 33 Nghị định số 100/2019/NĐ-CP (Cụ thể: Chở hàng vượt khổ giới hạn của cầu, đường ghi trong Giấy phép lưu hành; Điều khiển xe bánh xích tham gia giao thông không có Giấy phép lưu hành hoặc có Giấy phép lưu hành nhưng không còn giá trị sử dụng theo quy định hoặc lưu thông trực tiếp trên đường mà không thực hiện biện pháp bảo vệ đường theo quy định; Điều khiển xe có Giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng (khối lượng toàn bộ) của xe hoặc tải trọng trục xe (bao gồm cả hàng hóa xếp trên xe nếu có) vượt quá quy định trong Giấy phép lưu hành; Điều khiển xe có Giấy phép lưu hành còn giá trị sử dụng nhưng đi không đúng tuyến đường quy định trong Giấy phép lưu hành.)",,1000000,2000000,Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 33 - Khoản 1]
Điều 33. Xử phạt người điều khiển xe bánh xích; xe quá tải trọng, quá khổ giới hạn của cầu, đường (kể cả xe ô tô chở hành khách)
1. Phạt tiền từ 1.000.000 đồng đến 2.000.000 đồng đối với hành vi không thực hiện đúng quy định trong Giấy phép lưu hành, trừ các hành vi vi phạm quy định tại điểm a, điểm b khoản 3; điểm b, điểm c khoản 4 Điều này.",,giấy tờ/GPLX
ND168_34_3_a_0756,Nghị định 168/2024/NĐ-CP,34,3,a,ô tô,"Người điều khiển xe quá khổ, quá tải, xe bánh xích",Chở hàng vượt khổ giới hạn ghi trong giấy phép lưu hành,Chở hàng vượt khổ giới hạn của xe hoặc của đường bộ ghi trong giấy phép lưu hành,,8000000,10000000,Phạt tiền từ 8.000.000 đồng đến 10.000.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 34 - Khoản 3 - Điểm a]
Điều 34. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển quá khổ giới hạn, xe quá tải trọng, xe bánh xích lưu hành đường bộ (kể cả xe ô tô chở hành khách)
3. Phạt tiền từ 8.000.000 đồng đến 10.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Chở hàng vượt khổ giới hạn của xe hoặc của đường bộ ghi trong giấy phép lưu hành;",,giấy tờ/GPLX
ND100_36_2_b_0835,Nghị định 100/2019/NĐ-CP,36,2,b,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Điều khiển xe không có phù hiệu kiểm soát, hết hạn hoặc không do cơ quan có thẩm quyền cấp",Điều khiển xe không có phù hiệu kiểm soát theo quy định hoặc có nhưng đã hết giá trị sử dụng hoặc sử dụng phù hiệu không do cơ quan có thẩm quyền cấp.,,3000000,5000000,Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 36 - Khoản 2 - Điểm b]
Điều 36. Xử phạt người điều khiển phương tiện đăng ký hoạt động trong Khu kinh tế thương mại đặc biệt, Khu kinh tế cửa khẩu quốc tế
2. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với người điều khiển xe ô tô và các loại xe tương tự xe ô tô thực hiện một trong các hành vi vi phạm sau đây:
b) Điều khiển xe không có phù hiệu kiểm soát theo quy định hoặc có nhưng đã hết giá trị sử dụng hoặc sử dụng phù hiệu không do cơ quan có thẩm quyền cấp.",,khác
ND100_47_8_0995,Nghị định 100/2019/NĐ-CP,47,8,,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Vượt đường ngang, cầu chung khi đèn đỏ đã bật sáng","vượt đường ngang, cầu chung khi đèn đỏ đã bật sáng",,3000000,5000000,Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 47 - Khoản 8]
Điều 47. Xử phạt các hành vi vi phạm quy định về quy tắc giao thông tại đường ngang, cầu chung, hầm đường sắt
8. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với người điều khiển xe ô tô, các loại xe tương tự xe ô tô vượt rào chắn đường ngang, cầu chung khi chắn đang dịch chuyển; vượt đường ngang, cầu chung khi đèn đỏ đã bật sáng; không chấp hành hiệu lệnh, chỉ dẫn của nhân viên gác đường ngang, cầu chung khi đi qua đường ngang, cầu chung.",,tín hiệu/biển báo
ND123_1_2b_b_0043,Nghị định 123/2021/NĐ-CP,1,2b,b,ô tô,người điều khiển ô tô và các loại phương tiện tương tự ô tô,b) Điều khiển ô tô và các loại phương tiện tương tự ô tô mà trong máu hoặc hơi t...,"b) Điều khiển ô tô và các loại phương tiện tương tự ô tô mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/01 lít khí thở. - Phạt tiền từ 10.000.000 đồng đến 12.000.000 đồng đối với người điều khiển ô tô và các loại phương tiện tương tự ô tô chạy quá tốc độ quy định trên 35 km/giờ. - Phạt tiền từ 16.000.000 đồng đến 18.000.000 đồng đối với người điều khiển ô tô và các loại phương tiện tương tự ô tô mà trong máu hoặc hơi thở có...",,10000000,12000000,Phạt tiền từ 10.000.000 đồng đến 12.000.000 đồng,,,,,amendment,"b) Điều khiển ô tô và các loại phương tiện tương tự ô tô mà trong máu
hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu
hoặc chưa vượt quá 0,25 miligam/01 lít khí thở.
- Phạt tiền từ 10.000.000 đồng đến 12.000.000 đồng đối với người điều
khiển ô tô và các loại phương tiện tương tự ô tô chạy quá tốc độ quy định trên
35 km/giờ.
- Phạt tiền từ 16.000.000 đồng đến 18.000.000 đồng đối với người điều
khiển ô tô và các loại phương tiện tương tự ô tô mà trong máu hoặc hơi thở có
nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt
quá 0,25 miligam đến 0,4 m",,cồn/ma túy
ND168_6_1_b_0018,Nghị định 168/2024/NĐ-CP,6,1,b,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Không có tín hiệu báo khi ra, vào vị trí dừng, đỗ xe","Khi ra, vào vị trí dừng xe, đỗ xe không có tín hiệu báo cho người điều khiển phương tiện khác biết",,400000,600000,Phạt tiền từ 400.000 đồng đến 600.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 6 - Khoản 1 - Điểm b]
Điều 6. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô vi phạm quy tắc giao thông đường bộ
1. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
b) Khi ra, vào vị trí dừng xe, đỗ xe không có tín hiệu báo cho người điều khiển phương tiện khác biết;",,tín hiệu/biển báo
ND168_13_2_a_0357,Nghị định 168/2024/NĐ-CP,13,2,a,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Điều khiển xe không có đủ đèn chiếu sáng, đèn soi biển số, đèn báo hãm, đèn tín hiệu, cần gạt nước, gương chiếu hậu, dây đai an toàn, dụng cụ thoát hiểm, thiết bị chữa cháy, đồng hồ báo áp lực hơi, đồng hồ báo tốc độ của xe hoặc có những thiết bị đó nhưng không có tác dụng, không đúng tiêu chuẩn thiết kế (đối với loại xe được quy định phải có những thiết bị đó), trừ các hành vi vi phạm quy định tại điểm h khoản 3 Điều 20, điểm đ khoản 4 Điều 26 của Nghị định số 168/2024/NĐ-CP (Cụ thể: Điều khiển xe ô tô kinh doanh vận tải không có dây đai an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh); Sử dụng xe ô tô kinh doanh vận tải hành khách không có dây đai an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh))","Điều khiển xe không có đủ đèn chiếu sáng, đèn soi biển số, đèn báo hãm, đèn tín hiệu, cần gạt nước, gương chiếu hậu, dây đai an toàn, dụng cụ thoát hiểm, thiết bị chữa cháy, đồng hồ báo áp lực hơi, đồng hồ báo tốc độ của xe hoặc có những thiết bị đó nhưng không có tác dụng, không đúng tiêu chuẩn thiết kế (đối với loại xe được quy định phải có những thiết bị đó), trừ các hành vi vi phạm quy định tại điểm h khoản 3 Điều 20, điểm đ khoản 4 Điều 26 của Nghị định số 168/2024/NĐ-CP (Cụ thể: Điều khiển xe ô tô kinh doanh vận tải không có dây đai an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh); Sử dụng xe ô tô kinh doanh vận tải hành khách không có dây đai an toàn tại các vị trí ghế ngồi, giường nằm theo quy định (trừ xe buýt nội tỉnh))",,400000,600000,Phạt tiền từ 400.000 đồng đến 600.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 13 - Khoản 2 - Điểm a]
Điều 13. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô (bao gồm cả rơ moóc hoặc sơ mi rơ moóc được kéo theo), xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ và các loại xe tương tự xe ô tô vi phạm quy định về điều kiện của phương tiện khi tham gia giao thông
2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Điều khiển xe không có đủ đèn chiếu sáng, đèn soi biển số, đèn báo hãm, đèn tín hiệu, cần gạt nước, gương chiếu hậu, dây đai an toàn",,tốc độ
ND168_18_3_b_0446,Nghị định 168/2024/NĐ-CP,18,3,b,ô tô,Người điều khiển xe ô tô và các loại xe tương tự kinh doanh vận tải,Không mang theo chứng nhận đăng ký xe khi kinh doanh vận tải,"không mang theo chứng nhận đăng ký xe (hoặc bản sao chứng nhận đăng ký xe có chứng thực kèm theo bản gốc giấy biên nhận của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài trong trường hợp tổ chức tín dụng, chi nhánh ngân hàng nước ngoài giữ bản gốc chứng nhận đăng ký xe)",,300000,400000,Phạt tiền từ 300.000 đồng đến 400.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 18 - Khoản 3 - Điểm b]
Điều 18. Xử phạt, trừ điểm giấy phép lái xe các hành vi vi phạm quy định về điều kiện của người điều khiển xe cơ giới
3. Phạt tiền từ 300.000 đồng đến 400.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Người điều khiển xe ô tô, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ, rơ moóc, sơ mi rơ moóc và các loại xe tương tự xe ô tô kinh doanh vận tải không mang theo chứng nhận đăng ký xe (hoặc bản sao chứng nhận đăng ký xe có chứng thực kèm theo bản gốc giấy biên nhận của tổ chức tín dụng, c",,giấy tờ/GPLX
ND168_20_1_0470,Nghị định 168/2024/NĐ-CP,20,1,,ô tô,Người điều khiển xe ô tô chở hành khách,Không hướng dẫn hành khách đúng vị trí quy định trong xe,"không hướng dẫn hành khách đứng, nằm, ngồi đúng vị trí quy định trong xe",,100000,200000,Phạt tiền từ 100.000 đồng đến 200.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 20 - Khoản 1]
Điều 20. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô chở hành khách, ô tô chở người và các loại xe tương tự xe ô tô chở hành khách vi phạm quy định về bảo đảm trật tự, an toàn giao thông
1. Phạt tiền từ 100.000 đồng đến 200.000 đồng đối với hành vi vi phạm: không hướng dẫn hành khách đứng, nằm, ngồi đúng vị trí quy định trong xe.",,khác
ND168_22_3_a_0551,Nghị định 168/2024/NĐ-CP,22,3,a,ô tô,Người điều khiển xe ô tô,"Chở hàng siêu trường, siêu trọng không có giấy phép lưu hành hợp lệ","Chở hàng siêu trường, siêu trọng không có giấy phép lưu hành hoặc có giấy phép lưu hành nhưng đã hết giá trị sử dụng hoặc sử dụng giấy phép lưu hành không do cơ quan có thẩm quyền cấp",,13000000,15000000,Phạt tiền từ 13.000.000 đồng đến 15.000.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 22 - Khoản 3 - Điểm a]
Điều 22. Xử phạt, trừ điểm giấy phép lái xe của người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển hàng siêu trường, siêu trọng
3. Phạt tiền từ 13.000.000 đồng đến 15.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Chở hàng siêu trường, siêu trọng không có giấy phép lưu hành hoặc có giấy phép lưu hành nhưng đã hết giá trị sử dụng hoặc sử dụng giấy phép lưu hành không do cơ quan có thẩm quyền cấp;",,giấy tờ/GPLX
ND168_38_2_a_0798,Nghị định 168/2024/NĐ-CP,38,2,a,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Không có tờ khai phương tiện vận tải đường bộ tạm nhập, tái xuất","Không có tờ khai phương tiện vận tải đường bộ tạm nhập, tái xuất theo quy định",,3000000,5000000,Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng,,,,,current,"[Văn bản: Nghị định số 168/2024/NĐ-CP - Điều 38 - Khoản 2 - Điểm a]
Điều 38. Xử phạt người điều khiển phương tiện đăng ký hoạt động trong Khu kinh tế thương mại đặc biệt, Khu kinh tế cửa khẩu quốc tế
2. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với người điều khiển xe ô tô và các loại xe tương tự xe ô tô thực hiện một trong các hành vi vi phạm sau đây:
a) Không có tờ khai phương tiện vận tải đường bộ tạm nhập, tái xuất theo quy định;",,khác
ND100_5_1_d_0012,Nghị định 100/2019/NĐ-CP,5,1,d,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,"Dừng, đỗ xe không có tín hiệu báo","Khi dừng xe, đỗ xe không có tín hiệu báo cho người điều khiển phương tiện khác biết",,200000,400000,Phạt tiền từ 200.000 đồng đến 400.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 5 - Khoản 1 - Điểm d]
Điều 5. Xử phạt người điều khiển xe ô tô và các loại xe tương tự xe ô tô vi phạm quy tắc giao thông đường bộ
1. Phạt tiền từ 200.000 đồng đến 400.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
d) Khi dừng xe, đỗ xe không có tín hiệu báo cho người điều khiển phương tiện khác biết;",,tín hiệu/biển báo
ND100_16_3_b_0399,Nghị định 100/2019/NĐ-CP,16,3,b,ô tô,Người điều khiển xe ô tô và các loại xe tương tự,Điều khiển xe có hệ thống chuyển hướng không đúng tiêu chuẩn an toàn kỹ thuật,Điều khiển xe có hệ thống chuyển hướng của xe không đúng tiêu chuẩn an toàn kỹ thuật,,800000,1000000,Phạt tiền từ 800.000 đồng đến 1.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 16 - Khoản 3 - Điểm b]
Điều 16. Xử phạt người điều khiển xe ô tô (bao gồm cả rơ moóc hoặc sơ mi rơ moóc được kéo theo) và các loại xe tương tự xe ô tô vi phạm quy định về điều kiện của phương tiện khi tham gia giao thông
3. Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Điều khiển xe có hệ thống chuyển hướng của xe không đúng tiêu chuẩn an toàn kỹ thuật;",,làn/phần đường
ND100_23_3_a_0504,Nghị định 100/2019/NĐ-CP,23,3,a,ô tô,"Người điều khiển xe ô tô chở hành khách, chở người",Không đóng cửa lên xuống khi xe đang chạy,Không đóng cửa lên xuống khi xe đang chạy,,600000,800000,Phạt tiền từ 600.000 đồng đến 800.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 23 - Khoản 3 - Điểm a]
Điều 23. Xử phạt người điều khiển xe ô tô chở hành khách, ô tô chở người và các loại xe tương tự xe ô tô chở hành khách, chở người vi phạm quy định về vận tải đường bộ
3. Phạt tiền từ 600.000 đồng đến 800.000 đồng đối với một trong các hành vi vi phạm sau đây:
a) Không đóng cửa lên xuống khi xe đang chạy;",,khác
ND100_25_2_b_0590,Nghị định 100/2019/NĐ-CP,25,2,b,ô tô,Người điều khiển xe ô tô,"Chở hàng siêu trường, siêu trọng vượt quá quy định trong Giấy phép lưu hành","Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng, kích thước bao ngoài của xe (sau khi đã xếp hàng lên xe) vượt quá quy định trong Giấy phép lưu hành",,5000000,7000000,Phạt tiền từ 5.000.000 đồng đến 7.000.000 đồng,,,,,old_base,"[Văn bản: Nghị định số 100/2019/NĐ-CP - Điều 25 - Khoản 2 - Điểm b]
Điều 25. Xử phạt người điều khiển xe ô tô thực hiện hành vi vi phạm quy định về vận chuyển hàng siêu trường, siêu trọng
2. Phạt tiền từ 5.000.000 đồng đến 7.000.000 đồng đối với một trong các hành vi vi phạm sau đây:
b) Chở hàng siêu trường, siêu trọng có Giấy phép lưu hành còn giá trị sử dụng nhưng tổng trọng lượng, kích thước bao ngoài của xe (sau khi đã xếp hàng lên xe) vượt quá quy định trong Giấy phép lưu hành;",,giấy tờ/GPLX
